match_id,map,hill_num,time_s,team,score,cumulative_score
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,67,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,68,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,69,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,70,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,71,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,72,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,73,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,74,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,75,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,76,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,77,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,78,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,79,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,80,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,81,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,82,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,83,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,84,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,85,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,86,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,87,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,88,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,89,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,90,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,91,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,92,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,93,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,94,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,95,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,96,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,97,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,98,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,99,RED RESERVE,0,41
