hill_num,round_score
1,19.449760765550238
2,21.952153110047846
3,23.263157894736842
4,20.90909090909091
5,19.497607655502392
6,19.763157894736842
7,22.014423076923077
8,19.66829268292683
9,20.528795811518325
10,16.371069182389938
11,16.77310924369748
12,13.243055555555555
13,11.107142857142858
14,5.8
